"ApoA1" "ApoB" "BisDBRatio" "BisFARatio" "CH2DBRatio" "CH2InFA" "DBInFA" "DHA" "EstC" "FALen" "FAw3" "FAw6" "FAw79S" "FreeC" "Gln" "Glol" "LLDLFC" "Gp" "HDLC" "HDLD" "IDLC" "IDLFC" "IDLL" "IDLPL" "IDLP" "IDLTG" "LA" "LDLC" "LDLD" "LHDLCE" "LHDLC" "LHDLFC" "LHDLL" "LHDLPL" "LHDLP" "LLDLCE" "LLDLC" "MVLDLFC" "LLDLL" "LLDLPL" "LLDLP" "LVLDLCE" "LVLDLC" "LVLDLFC" "LVLDLL" "LVLDLPL" "LVLDLP" "LVLDLTG" "MHDLCE" "MHDLC" "MHDLFC" "MHDLL" "MHDLPL" "MHDLP" "MLDLCE" "MLDLC" "MLDLL" "MLDLPL" "MLDLP" "MUFA" "MVLDLCE" "MVLDLC" "TotPG" "MVLDLL" "MVLDLPL" "MVLDLP" "MVLDLTG" "OtPUFA" "PC" "SerumC" "SerumTG" "SHDLL" "SHDLP" "SHDLTG" "SLDLC" "SLDLL" "SLDLP" "SM" "SVLDLC" "SVLDLFC" "SVLDLL" "SVLDLPL" "SVLDLP" "SVLDLTG" "TotFA" "VLDLD" "XLHDLCE" "XLHDLC" "XLHDLFC" "XLHDLL" "XLHDLPL" "XLHDLP" "XLHDLTG" "XLVLDLL" "XLVLDLPL" "XLVLDLP" "XLVLDLTG" "XSVLDLL" "XSVLDLPL" "XSVLDLP" "XSVLDLTG" "XXLVLDLL" "XXLVLDLPL" "XXLVLDLTG" "Gly"
"rs78567092" 0.6759 0.084567 0.671254 0.588085 0.655979 0.365933 0.992693 0.41753 0.091408 0.466658 0.141736 0.001977 0.170518 0.801641 0.521337 0.8928 0.333036 0.142303 0.8692 0.586405 0.251933 0.710737 0.33973 0.662135 0.390988 0.307781 0.005467 0.154753 0.194704 0.895513 0.650817 0.614755 0.746762 0.696546 0.723414 0.209704 0.238144 0.539208 0.255311 0.231923 0.262562 0.667412 0.787564 0.742149 0.412506 0.54693 0.254013 0.79698 0.562759 0.766932 0.851253 0.711604 0.997978 0.735295 0.246967 0.190199 0.207677 0.079294 0.1871 0.53888 0.231184 0.314152 0.221726 0.275648 0.59188 0.151333 0.542373 0.110664 0.2239 0.141406 0.195606 0.131134 0.081637 0.665973 0.187694 0.171414 0.138283 0.091693 0.133276 0.063648 0.099601 0.253239 0.110389 0.164217 0.036211 0.320743 0.618602 0.671187 0.859191 0.921546 0.437343 0.500096 0.467045 0.561462 0.928419 0.699372 0.724369 0.274273 0.554166 0.310078 0.149573 0.720549 0.493218 0.173559 0.108673
"rs73475318" 0.02675 0.822464 0.06477 0.02767 0.021366 0.030835 0.040662 0.522773 0.071813 0.815166 0.20159 0.141104 0.339748 0.306985 0.712522 0.506273 0.028604 0.924636 0.057425 0.196209 0.031298 0.086539 0.087233 0.130087 0.144765 0.647629 0.342362 0.050714 0.843557 0.15086 0.238316 0.2482 0.117554 0.090111 0.111746 0.023682 0.037494 0.253097 0.039655 0.05441 0.048949 0.044926 0.023024 0.087344 0.040616 0.126163 0.042877 0.066064 0.251124 0.21746 0.115198 0.259973 0.354403 0.33633 0.033619 0.076125 0.064453 0.123937 0.064737 0.16265 0.859005 0.390143 0.346069 0.156818 0.25517 0.07708 0.104358 0.573214 0.302169 0.031162 0.217259 0.122169 0.280757 0.87202 0.110121 0.189509 0.174852 0.545048 0.475819 0.784108 0.763602 0.645325 0.49937 0.607314 0.825543 0.099697 0.566015 0.53398 0.603689 0.417358 0.353121 0.193986 0.836131 0.041279 0.068554 0.14537 0.036155 0.921147 0.345018 0.7639 0.459499 0.022381 0.008871 0.066689 0.852481
"rs75506752" 0.619857 0.725026 0.053866 0.053523 0.059169 0.446804 0.099394 0.962635 0.940672 0.365943 0.838394 0.163394 0.089475 0.623778 0.867031 0.099549 0.965934 0.515577 0.424731 0.321639 0.636508 0.967754 0.973667 0.751927 0.901926 0.931673 0.186963 0.882735 0.910036 0.210593 0.249289 0.307167 0.256442 0.343423 0.272296 0.563434 0.792517 0.773933 0.761852 0.967118 0.823416 0.678392 0.68409 0.791397 0.653455 0.87045 0.701791 0.642815 0.954031 0.821883 0.879225 0.714495 0.544591 0.624711 0.61381 0.870583 0.716102 0.946128 0.755677 0.248968 0.886063 0.958815 0.342251 0.639683 0.736295 0.613712 0.636975 0.863855 0.285745 0.494808 0.672236 0.629945 0.631687 0.766116 0.888933 0.961032 0.978079 0.067136 0.466437 0.696507 0.877433 0.807841 0.950467 0.626573 0.110722 0.93141 0.575782 0.655393 0.460713 0.490755 0.347317 0.244989 0.437569 0.341264 0.617362 0.754186 0.452647 0.859377 0.93452 0.800798 0.758272 0.232111 0.314712 0.582571 0.58982
"rs2013215" 0.180151 0.720447 0.966023 0.765507 0.54417 0.234799 0.753509 0.049443 0.841317 0.938381 0.016819 0.420292 0.072042 0.360444 0.749081 0.709668 0.691007 0.45584 0.039154 0.082408 0.759052 0.864933 0.506343 0.583772 0.428181 0.248877 0.425702 0.848075 0.721833 0.042398 0.031855 0.015676 0.032043 0.031664 0.033444 0.978743 0.769229 0.015309 0.917837 0.958941 0.86808 0.006651 0.005721 0.005343 0.003658 0.00575 0.003017 0.003534 0.77205 0.915215 0.660301 0.930258 0.925862 0.9814 0.897607 0.720362 0.97213 0.894225 0.918384 0.05953 0.036235 0.020975 0.455596 0.006305 0.013938 0.005852 0.007017 0.044805 0.400149 0.743144 0.010887 0.955398 0.745034 0.074558 0.743117 0.666822 0.658211 0.685946 0.349951 0.113764 0.054066 0.088863 0.032084 0.010667 0.089658 0.013485 0.348484 0.286218 0.24068 0.097118 0.026387 0.059983 0.664652 0.003282 0.008561 0.006222 0.003413 0.093476 0.319052 0.080721 0.050052 0.004103 0.00685 0.00628 0.765051
"rs17041955" 0.438624 0.246781 0.026403 0.057969 0.138272 0.342791 0.186892 0.919427 0.036508 0.390977 0.493487 0.205463 0.030918 0.063056 0.295495 0.389909 0.024676 0.852161 0.506633 0.829691 0.060822 0.058726 0.05577 0.065668 0.056079 0.344932 0.225259 0.053236 0.50045 0.892817 0.861957 0.734733 0.831381 0.809422 0.847306 0.035478 0.044846 0.372576 0.030848 0.053692 0.033732 0.700915 0.608496 0.729568 0.5339 0.3663 0.93811 0.630599 0.653388 0.717336 0.930956 0.792585 0.888648 0.824902 0.034407 0.062973 0.029645 0.068551 0.032163 0.044871 0.515298 0.515922 0.252366 0.398779 0.26096 0.939625 0.460451 0.781571 0.203185 0.158656 0.574823 0.273334 0.422467 0.537141 0.054143 0.039384 0.031558 0.014384 0.420448 0.553206 0.429229 0.590666 0.475099 0.790628 0.060443 0.837362 0.123195 0.144444 0.182258 0.214024 0.458777 0.155244 0.611937 0.909312 0.787259 0.829985 0.884259 0.232199 0.157921 0.24476 0.4636 0.755222 0.712144 0.947479 0.057731
"rs144204516" 0.729177 0.613848 0.052699 0.08818 0.290783 0.761422 0.125407 0.26892 0.644939 0.173927 0.198866 0.363706 0.504516 0.535528 0.801453 0.480414 0.854008 0.474779 0.370103 0.171646 0.399825 0.459851 0.290858 0.495234 0.23672 0.049077 0.254015 0.5786 0.434696 0.158755 0.150296 0.115856 0.227126 0.389635 0.258617 0.486853 0.665967 0.44483 0.428631 0.620508 0.385974 0.826814 0.871679 0.825175 0.914286 0.881054 0.806355 0.894536 0.841785 0.757584 0.447739 0.391461 0.24697 0.305884 0.451833 0.493635 0.436281 0.477758 0.397938 0.295893 0.482126 0.466016 0.672036 0.388105 0.482004 0.57961 0.515861 0.328856 0.459863 0.743887 0.269563 0.403252 0.362907 0.429917 0.367647 0.481142 0.427061 0.696734 0.427227 0.175233 0.200229 0.187312 0.183847 0.167187 0.519951 0.916633 0.540965 0.335552 0.088818 0.116238 0.036536 0.085673 0.415142 0.922387 0.863372 0.915398 0.982036 0.056968 0.136826 0.059534 0.047569 0.647103 0.968052 0.970111 0.224416
"rs28481600" 0.237096 0.202397 0.290459 0.394623 0.460149 0.879114 0.281506 0.416695 0.674409 0.228209 0.292632 0.842814 0.340178 0.477887 0.876578 0.295699 0.58588 0.690232 0.178167 0.209528 0.697446 0.368917 0.725929 0.343565 0.735593 0.785006 0.721576 0.349655 0.600285 0.25764 0.140174 0.163783 0.161509 0.144789 0.156766 0.487984 0.520914 0.060097 0.53038 0.489715 0.53693 0.133257 0.136343 0.098064 0.344816 0.096668 0.865337 0.158489 0.274586 0.181387 0.133267 0.19675 0.13206 0.194253 0.438347 0.501355 0.406338 0.460846 0.409838 0.223132 0.361118 0.173076 0.531633 0.235227 0.100771 0.378442 0.067075 0.527341 0.254555 0.266746 0.086372 0.635433 0.782407 0.102454 0.37753 0.403507 0.428775 0.911772 0.102707 0.06262 0.240022 0.134087 0.230923 0.060518 0.524555 0.5966 0.745536 0.704925 0.386689 0.709752 0.468124 0.825571 0.876596 0.399569 0.128018 0.512054 0.135231 0.908814 0.789161 0.861672 0.457526 0.289059 0.13536 0.1737 0.767015
"rs10504335" 0.239168 0.112659 0.248916 0.395806 0.739946 0.183712 0.134113 0.246093 0.547379 0.256859 0.978446 0.726499 0.857748 0.551547 0.288143 0.395924 0.473359 0.067243 0.033521 0.192376 0.171008 0.141403 0.147722 0.107067 0.129236 0.169168 0.826216 0.355321 0.340811 0.042709 0.052036 0.043217 0.049605 0.070056 0.053411 0.178311 0.395487 0.043042 0.189403 0.320068 0.177693 0.04519 0.030897 0.034048 0.141261 0.049334 0.208081 0.099706 0.368835 0.349016 0.476643 0.602971 0.84748 0.736518 0.185315 0.40379 0.20871 0.353208 0.175697 0.735702 0.0498 0.042603 0.961107 0.140903 0.058814 0.327189 0.166921 0.515633 0.980134 0.147337 0.036813 0.809543 0.746922 0.192327 0.161065 0.259682 0.232655 0.703339 0.045859 0.089355 0.073948 0.038256 0.082006 0.098607 0.79439 0.881887 0.409564 0.435148 0.186447 0.302947 0.174052 0.269343 0.442239 0.033543 0.02326 0.150004 0.022758 0.143935 0.171078 0.138373 0.123655 0.036903 0.045703 0.02176 0.781961
"rs13138395" 0.820079 0.610234 0.292355 0.279664 0.367657 0.734148 0.11518 0.963675 0.770365 0.204104 0.998966 0.500667 0.913072 0.516968 0.658421 0.243556 0.97309 0.296191 0.825184 0.31967 0.930128 0.744351 0.775714 0.99194 0.691544 0.302013 0.620709 0.514033 0.50346 0.354841 0.392712 0.363226 0.398111 0.422367 0.482525 0.72219 0.94993 0.730926 0.722325 0.848449 0.675413 0.180175 0.461281 0.689699 0.357688 0.636238 0.284624 0.653307 0.872001 0.605883 0.596217 0.690059 0.628575 0.580663 0.533896 0.364517 0.572376 0.418017 0.544757 0.971887 0.205966 0.576875 0.661708 0.281206 0.698997 0.484897 0.662314 0.446872 0.640019 0.774902 0.429994 0.275684 0.295357 0.360667 0.536187 0.543309 0.518581 0.626059 0.349697 0.358933 0.136846 0.457352 0.129727 0.184745 0.967869 0.180947 0.646765 0.581556 0.236613 0.334468 0.462198 0.759666 0.898544 0.432084 0.563047 0.290339 0.631422 0.363154 0.602651 0.298392 0.113389 0.373164 0.613926 0.867415 0.756295
"rs327087" 0.466401 0.429471 0.581277 0.544871 0.959592 0.308104 0.996072 0.867922 0.848719 0.25256 0.707595 0.676193 0.981527 0.949944 0.306197 0.966303 0.706487 0.28098 0.389897 0.887279 0.584419 0.745878 0.598014 0.712206 0.623816 0.61261 0.547934 0.669167 0.361847 0.711034 0.71005 0.735465 0.73178 0.66484 0.964464 0.610608 0.638468 0.430271 0.615579 0.623578 0.62126 0.46334 0.410621 0.450261 0.437645 0.383342 0.565202 0.463854 0.405805 0.36685 0.223939 0.319124 0.271627 0.328137 0.694604 0.882472 0.717769 0.803543 0.749258 0.920416 0.158502 0.217774 0.490679 0.334384 0.493032 0.437125 0.58806 0.761774 0.316949 0.955195 0.536947 0.213806 0.174442 0.918341 0.828071 0.803124 0.926071 0.315232 0.312331 0.451999 0.41139 0.473777 0.474113 0.60249 0.888359 0.570485 0.378214 0.386506 0.646293 0.643406 0.820902 0.263831 0.546583 0.24189 0.420131 0.393095 0.253918 0.693564 0.676738 0.701103 0.618264 0.515281 0.401289 0.355291 0.187706
"rs6122953" 0.805573 0.841441 0.666308 0.35876 0.223908 0.781309 0.308059 0.700003 0.259385 0.18886 0.928527 0.56109 0.748194 0.386307 0.357417 0.383316 0.7147 0.236518 0.734376 0.96294 0.722401 0.54201 0.734473 0.706364 0.747131 0.856199 0.379824 0.749672 0.121115 0.83306 0.556525 0.454695 0.751173 0.722611 0.740621 0.77637 0.740647 0.769191 0.798024 0.932467 0.8177 0.389302 0.312729 0.229573 0.446308 0.63639 0.383384 0.48386 0.913273 0.621957 0.439021 0.825084 0.694866 0.860748 0.831967 0.824126 0.98077 0.927348 0.968269 0.852774 0.812028 0.797377 0.236332 0.656392 0.740967 0.243219 0.597806 0.839541 0.313656 0.98201 0.577529 0.979177 0.809199 0.752576 0.890504 0.792377 0.752812 0.169147 0.914924 0.98797 0.772031 0.902647 0.715708 0.614558 0.953022 0.639883 0.391979 0.527164 0.944683 0.75795 0.82109 0.674015 0.643803 0.083038 0.165203 0.468626 0.145854 0.786323 0.487182 0.846658 0.881894 0.081737 0.015863 0.073137 0.399076
"rs80180912" 0.464757 0.774555 0.352788 0.170198 0.091336 0.903358 0.114063 0.130722 0.29315 0.04116 0.163424 0.381603 0.545691 0.236395 0.169651 0.543514 0.74722 0.888892 0.3853 0.900968 0.797424 0.979215 0.802012 0.962661 0.742358 0.278046 0.252095 0.654105 0.188609 0.734221 0.697957 0.799049 0.661977 0.766629 0.718691 0.61848 0.654875 0.592353 0.64526 0.751217 0.606754 0.95754 0.94894 0.976352 0.693111 0.550604 0.942319 0.671214 0.992666 0.924909 0.538862 0.864945 0.739313 0.859057 0.567117 0.595315 0.560209 0.529403 0.531064 0.640626 0.893492 0.935213 0.425231 0.713211 0.670919 0.99612 0.472867 0.066399 0.437926 0.506646 0.479434 0.203016 0.299741 0.589741 0.664257 0.677073 0.522865 0.507202 0.770128 0.646654 0.672685 0.65989 0.623353 0.497416 0.395825 0.979487 0.689157 0.796554 0.814875 0.86194 0.864036 0.999041 0.99459 0.837254 0.889898 0.95748 0.527107 0.757573 0.948081 0.643539 0.427867 0.939336 0.783462 0.823696 0.905696
"rs1395111" 0.428721 0.095754 0.119143 0.345676 0.600603 0.490543 0.250263 0.088548 0.570027 0.224796 0.218388 0.930745 0.720449 0.773205 0.114667 0.153216 0.019298 0.884604 0.199488 0.122583 0.016093 0.013811 0.012133 0.008863 0.011326 0.020899 0.944806 0.030543 0.036035 0.073126 0.080987 0.084851 0.158671 0.260616 0.247117 0.02181 0.021573 0.822118 0.01986 0.017593 0.018491 0.819881 0.514494 0.66114 0.347519 0.720566 0.906783 0.333025 0.484095 0.505162 0.698867 0.793824 0.907754 0.92819 0.033155 0.059619 0.034923 0.032191 0.036314 0.928981 0.30724 0.516173 0.978013 0.897429 0.58328 0.695048 0.678061 0.329239 0.966449 0.097812 0.461445 0.383089 0.525734 0.027688 0.05711 0.080381 0.087601 0.383237 0.051564 0.11614 0.160293 0.10375 0.230198 0.530026 0.745974 0.612797 0.188807 0.124335 0.088377 0.152391 0.113201 0.161434 0.975974 0.395361 0.82653 0.487092 0.363741 0.01674 0.005455 0.021084 0.089423 0.627159 0.696981 0.986606 0.071815
"rs113246702" 0.964761 0.740422 0.442331 0.684082 0.801831 0.610946 0.97184 0.408644 0.786792 0.826913 0.544542 0.941947 0.864105 0.5671 0.886327 0.332912 0.774595 0.784411 0.916283 0.893849 0.469216 0.552974 0.348768 0.399094 0.299239 0.181079 0.78231 0.844029 0.646096 0.93871 0.873467 0.846005 0.86507 0.801189 0.648112 0.605796 0.80393 0.49382 0.527063 0.648817 0.491288 0.553887 0.480199 0.397051 0.262133 0.39687 0.494907 0.396552 0.917123 0.884024 0.887368 0.781752 0.830039 0.702054 0.544809 0.820895 0.540674 0.642918 0.527948 0.500349 0.389231 0.747199 0.901 0.290003 0.410693 0.413704 0.475391 0.164411 0.83062 0.419172 0.325223 0.371377 0.417222 0.096222 0.888131 0.524899 0.520456 0.754811 0.815083 0.564379 0.35375 0.50684 0.327504 0.343141 0.896544 0.881815 0.663975 0.846047 0.940973 0.997361 0.663111 0.806745 0.190514 0.232554 0.18049 0.706637 0.246024 0.176008 0.153813 0.144644 0.214762 0.168874 0.193232 0.568553 0.416116
"rs116858918" 0.67794 0.837467 0.57298 0.213174 0.082923 0.646026 0.079755 0.577333 0.37032 0.268998 0.93719 0.077267 0.062143 0.831789 0.512223 0.622775 0.863325 0.931939 0.670118 0.504777 0.842415 0.861817 0.605061 0.745956 0.479268 0.1789 0.22931 0.931077 0.367778 0.565091 0.406742 0.500001 0.541815 0.568554 0.519992 0.734946 0.968914 0.081853 0.681926 0.867609 0.620753 0.028328 0.065946 0.054745 0.017796 0.071576 0.015889 0.044123 0.704931 0.910927 0.917269 0.913412 0.637205 0.801824 0.518906 0.892486 0.560148 0.943904 0.541504 0.131171 0.125615 0.172281 0.081313 0.059507 0.095526 0.057248 0.048564 0.276725 0.028017 0.19638 0.105686 0.803232 0.824838 0.422922 0.694014 0.497538 0.384645 0.170816 0.55057 0.384367 0.133339 0.181247 0.112236 0.183898 0.060779 0.070317 0.240748 0.472341 0.735933 0.272185 0.391426 0.27935 0.126078 0.081539 0.146444 0.023289 0.094022 0.194523 0.425931 0.157382 0.082268 0.079683 0.267682 0.131626 0.254017
"rs117062950" 0.267228 0.546879 0.258268 0.328752 0.11332 0.008524 0.301765 0.495257 0.643909 0.250084 0.327037 0.474656 0.258301 0.605921 0.06739 0.236961 0.938184 0.312176 0.310975 0.044321 0.992608 0.876941 0.975529 0.896477 0.946634 0.539439 0.872578 0.90725 0.508137 0.189708 0.164369 0.153591 0.262614 0.384178 0.30957 0.899486 0.953022 0.299811 0.929528 0.917883 0.895304 0.338998 0.903891 0.925769 0.748426 0.492126 0.930922 0.751534 0.946487 0.858261 0.718613 0.626727 0.5939 0.529065 0.791836 0.853763 0.866684 0.938981 0.862791 0.168969 0.353276 0.325161 0.719546 0.345901 0.238131 0.539721 0.465494 0.90133 0.92878 0.965355 0.543003 0.217875 0.335101 0.315492 0.839364 0.828699 0.867303 0.40436 0.37137 0.384463 0.415851 0.376546 0.415693 0.423554 0.642608 0.307524 0.040033 0.03494 0.049228 0.035577 0.054024 0.07217 0.620667 0.665416 0.580789 0.926621 0.700102 0.735363 0.658921 0.629408 0.413048 0.354554 0.323946 0.777808 0.089631
"rs11233795" 0.761485 0.031153 0.943925 0.954925 0.804028 0.217704 0.485 0.266525 0.296827 0.867679 0.81415 0.148271 0.315042 0.097889 0.251111 0.606776 0.273689 0.09821 0.371317 0.852037 0.255018 0.147 0.192548 0.110178 0.179573 0.259856 0.210269 0.177109 0.975456 0.828634 0.345659 0.353902 0.737661 0.631425 0.716667 0.284392 0.259749 0.077089 0.252852 0.29261 0.233648 0.259059 0.207163 0.160575 0.210766 0.089988 0.195232 0.128285 0.826125 0.711758 0.579372 0.702104 0.874725 0.657582 0.279494 0.155959 0.247497 0.194438 0.244115 0.179866 0.094315 0.024716 0.203581 0.276503 0.110625 0.105229 0.262807 0.372052 0.173223 0.201683 0.074878 0.822848 0.964213 0.522674 0.075742 0.169647 0.139842 0.683099 0.268729 0.149057 0.264847 0.182127 0.275869 0.192338 0.211092 0.723114 0.547628 0.721649 0.656457 0.513827 0.79443 0.566163 0.885488 0.114297 0.056481 0.069754 0.048106 0.188132 0.290092 0.171755 0.222406 0.129631 0.038638 0.066932 0.397499
"rs12945200" 0.808537 0.474855 0.038337 0.061903 0.351504 0.707314 0.564534 0.671518 0.271387 0.248629 0.929196 0.582073 0.060899 0.402075 0.218077 0.287589 0.248155 0.543693 0.926098 0.761372 0.506267 0.101996 0.385311 0.153573 0.330691 0.223071 0.658386 0.268102 0.282948 0.870439 0.883791 0.582608 0.967038 0.915126 0.936953 0.453184 0.294658 0.123537 0.401515 0.376348 0.383923 0.605451 0.396755 0.382124 0.433689 0.39841 0.320504 0.282483 0.621561 0.878325 0.726775 0.68615 0.804013 0.682747 0.388206 0.340982 0.448733 0.53428 0.455243 0.026098 0.416515 0.171257 0.356636 0.314805 0.211951 0.299005 0.107588 0.643036 0.186499 0.827793 0.327452 0.802856 0.770385 0.542946 0.523994 0.590571 0.590646 0.750214 0.071149 0.108194 0.168765 0.039854 0.171436 0.165584 0.125331 0.885694 0.857948 0.755358 0.693322 0.935912 0.653436 0.25294 0.564784 0.87147 0.900094 0.83499 0.89207 0.265338 0.268067 0.237324 0.188301 0.942286 0.643184 0.771786 0.526608
"rs34144040" 0.057897 0.195564 0.479532 0.440381 0.350723 0.635582 0.737053 0.160647 0.433264 0.029456 0.416309 0.753477 0.917623 0.409049 0.864967 0.546306 0.910442 0.175838 0.022333 0.004953 0.652951 0.695642 0.793714 0.973822 0.861968 0.888409 0.635644 0.997047 0.346987 0.00863 0.011418 0.009855 0.010928 0.016507 0.013947 0.881331 0.82651 0.004331 0.85002 0.670937 0.872904 0.02673 0.01924 0.01324 0.02361 0.010652 0.017298 0.029489 0.855722 0.770988 0.695648 0.911677 0.996946 0.846218 0.856748 0.968067 0.994266 0.617746 0.951707 0.814034 0.136331 0.033579 0.499888 0.007254 0.001967 0.005103 0.000505 0.301115 0.456044 0.512055 0.122837 0.188713 0.064105 0.098128 0.736367 0.762828 0.730095 0.007012 0.183262 0.174691 0.099275 0.057008 0.059118 0.033498 0.698373 0.004285 0.024358 0.046402 0.033456 0.013487 0.005207 0.095123 0.740641 0.009133 0.022528 0.027574 0.034141 0.741165 0.839362 0.627921 0.22776 0.007836 0.024642 0.030159 0.529544
"rs117415453" 0.023932 0.609839 0.049319 0.034471 0.01634 0.203739 0.022976 0.266456 0.513281 0.104751 0.192153 0.18957 0.583831 0.52512 0.422667 0.318666 0.892528 0.447571 0.025875 0.070119 0.947492 0.851022 0.932112 0.985809 0.922633 0.703159 0.193263 0.73317 0.491707 0.045308 0.053075 0.082939 0.031282 0.026295 0.024475 0.783499 0.82114 0.499948 0.812809 0.986076 0.81751 0.097369 0.111459 0.188624 0.393194 0.289438 0.439097 0.553996 0.012265 0.014083 0.025706 0.012523 0.017114 0.012712 0.663049 0.671127 0.754296 0.979594 0.785284 0.074946 0.549858 0.596684 0.162828 0.784933 0.519566 0.686542 0.615239 0.415211 0.082373 0.60613 0.544342 0.23491 0.168637 0.691231 0.61313 0.771605 0.849937 0.538358 0.354806 0.355874 0.392778 0.337876 0.394222 0.464782 0.945069 0.629689 0.555071 0.623376 0.571303 0.44025 0.349408 0.570007 0.164132 0.310257 0.28126 0.351244 0.259914 0.604572 0.744133 0.650761 0.61191 0.318459 0.662856 0.474038 0.013611
"rs13002112" 0.266895 0.806428 0.371142 0.362722 0.520708 0.921761 0.417456 0.308806 0.558157 0.688586 0.230493 0.936773 0.533606 0.348557 0.702151 0.537386 0.708364 0.489725 0.092479 0.179768 0.552256 0.628174 0.450916 0.37063 0.381167 0.264875 0.789138 0.875378 0.015241 0.148439 0.139874 0.144889 0.234775 0.279691 0.284823 0.717728 0.729827 0.924891 0.660829 0.574188 0.608496 0.821466 0.950314 0.866278 0.964877 0.705002 0.973226 0.783613 0.386494 0.348954 0.280165 0.432011 0.413634 0.487451 0.895531 0.891211 0.871368 0.867687 0.860193 0.848537 0.369045 0.559124 0.802719 0.695971 0.638092 0.751462 0.922388 0.315073 0.796019 0.664123 0.646546 0.968059 0.868845 0.061375 0.750204 0.827151 0.703964 0.947782 0.67977 0.895238 0.664545 0.724651 0.670285 0.749311 0.60653 0.322188 0.04003 0.049883 0.06991 0.089923 0.184654 0.125422 0.971354 0.98 0.694444 0.969459 0.788304 0.352042 0.352803 0.339583 0.502135 0.374606 0.457778 0.38046 0.287658
"rs12518796" 0.637751 0.314635 0.571601 0.697891 0.44806 0.993294 0.487402 0.333853 0.487478 0.324957 0.335455 0.423226 0.137453 0.76455 0.857179 0.322975 0.20789 0.400415 0.738272 0.393233 0.230617 0.132225 0.268765 0.172806 0.299323 0.426285 0.458847 0.285255 0.251968 0.688473 0.708849 0.68115 0.591944 0.55013 0.577635 0.29814 0.238971 0.905577 0.357209 0.252808 0.381659 0.892795 0.921656 0.915264 0.575203 0.91548 0.353787 0.879815 0.428214 0.533756 0.977431 0.655831 0.729541 0.723457 0.328507 0.491153 0.46495 0.524604 0.479836 0.12827 0.984097 0.841623 0.608306 0.349213 0.966554 0.408331 0.615046 0.26904 0.368078 0.358728 0.76567 0.690194 0.471575 0.653142 0.523713 0.758493 0.671587 0.324299 0.54597 0.801819 0.869863 0.6536 0.994696 0.847505 0.146809 0.13824 0.681706 0.628409 0.507614 0.528088 0.428114 0.455779 0.192738 0.739964 0.928513 0.66349 0.53267 0.337823 0.184079 0.539363 0.621644 0.600615 0.462403 0.276578 0.233625
"rs2876041" 0.549116 0.077564 0.263461 0.273971 0.491781 0.431041 0.325271 0.100749 0.066394 0.092215 0.066808 0.125269 0.367932 0.142686 0.434543 0.129381 0.368614 0.269956 0.988832 0.659704 0.567689 0.787957 0.578687 0.584766 0.566094 0.468834 0.146996 0.121241 0.064429 0.832281 0.864475 0.728383 0.754196 0.630124 0.735528 0.165378 0.21283 0.175933 0.228274 0.398403 0.250911 0.248152 0.363671 0.27509 0.238777 0.381359 0.19165 0.249289 0.300598 0.393602 0.635883 0.490832 0.660039 0.587509 0.079296 0.148205 0.09995 0.145311 0.103654 0.666699 0.16747 0.223344 0.636054 0.129164 0.142952 0.077439 0.125762 0.024626 0.421391 0.255175 0.12129 0.752958 0.728623 0.053808 0.117961 0.072584 0.065057 0.141073 0.284775 0.132668 0.088292 0.277394 0.085465 0.069398 0.266443 0.169142 0.249175 0.211827 0.244869 0.532714 0.81783 0.580846 0.119091 0.150932 0.408583 0.203205 0.173502 0.756278 0.693548 0.606785 0.202133 0.378973 0.27439 0.245641 0.46985
"rs12600011" 0.002357 0.200914 0.560806 0.492584 0.267123 0.19286 0.198247 0.165157 0.019174 0.040454 0.582893 0.140349 0.213655 0.011107 0.802973 0.172145 0.012627 0.876901 0.005399 0.000447 0.069178 0.029241 0.086297 0.102654 0.107636 0.421268 0.04445 0.021376 0.195118 0.003553 0.006783 0.004121 0.003388 0.006443 0.00454 0.086094 0.022976 0.623703 0.065347 0.038966 0.067026 0.74507 0.928481 0.944446 0.476115 0.445287 0.737068 0.336982 0.846646 0.873824 0.670615 0.9551 0.787945 0.89583 0.085494 0.018934 0.065859 0.025757 0.062003 0.126732 0.529349 0.603821 0.020408 0.263736 0.376601 0.269237 0.195964 0.026104 0.009039 0.046439 0.716036 0.729061 0.558289 0.23933 0.044213 0.050505 0.031152 0.020372 0.84753 0.865437 0.522229 0.630659 0.436626 0.331255 0.180325 0.349726 7.35e-05 0.000935 0.000455 1.82e-05 3.99e-05 0.000112 0.143814 0.919915 0.777612 0.826995 0.803115 0.489935 0.244596 0.308031 0.855926 0.752269 0.881248 0.808599 0.661726
