"rsid" "gene" "protein" "eQTL" "ref"
"54" "rs1054334" "RAB11FIP3" "A549,POL2,HudsonAlpha,EtOH_0.02pct;HepG2,POL2,Stanford,forskolin" "Cells_Transformed_fibroblasts, Lymphoblastoid_EUR_exonlevel" NA
"55" "rs1060431" "SLC25A11" "." "Esophagus_Mucosa, Lung, Skin_Sun_Exposed_Lower_leg" NA
"56" "rs1064213" "PLCL1" "." "Whole_Blood, Adipose_Subcutaneous" NA
"57" "rs10738622" "Metazoa_SRP" "." "." NA
"58" "rs10739470" "ASTN2" "." "." NA
"59" "rs10741083" "CACNB2" "." "Adipose_Subcutaneous, Lymphoblastoid_EUR_exonlevel, Nerve_Tibial" NA
"60" "rs10742308" "LMO2" "." "." NA
"61" "rs10762667" "C10orf11" "." "Thyroid" NA
"62" "rs10770699" "PDE3A" "." "." NA
"63" "rs10779419" "HLX" "." "." NA
"64" "rs10780209" "MIR4289" "." "." NA
"65" "rs10786568" "CUTC" "." "Cells_Transformed_fibroblasts, Whole_Blood" NA
"66" "rs10793565" "TMEM72-AS1" "." "Heart_Atrial_Appendage, Whole_Blood" NA
"67" "rs10803467" "C1orf196" "." "." NA
"68" "rs10805383" "RP11-158J3.2" "." "." NA
"69" "rs10810636" "BNC2" "." "." NA
"70" "rs10813766" "DOCK8" "." "." NA
"71" "rs10816971" "TXNDC8" "." "." NA
"72" "rs10820606" "ZNF367" "." "." NA
"73" "rs10822055" "PRKG1" "." "." NA
"74" "rs10829476" "RP11-442O18.3" "." "." NA
"75" "rs10831155" "GRM5" "." "." NA
"76" "rs10846305" "SLC15A5" "." "." NA
"77" "rs10856783" "AC010880.1" "." "." NA
"78" "rs10868590" "DAPK1" "." "." NA
"79" "rs10876550" "RP11-968A15.8" "." "Whole_Blood, Muscle_Skeletal" NA
"80" "rs10882925" "RRP12" "." "Heart_Left_Ventricle, Muscle_Skeletal, Whole_Blood" NA
"81" "rs10888260" "TRIM58" "." "Whole_Blood, Nerve_Tibial" NA
"82" "rs10900219" "MARCH8" "." "Whole_Blood, Brain_Cerebellum, Skin_Sun_Exposed_Lower_leg" NA
"83" "rs10903790" "RP11-526P5.2" "." "." NA
"84" "rs10906026" "C10orf47" "." "Whole_Blood, Testis" NA
"85" "rs10911246" "LAMC1" "." "Nerve_Tibial, Lung, Whole_Blood" NA
"86" "rs10929234" "MLPH" "." "Esophagus_Mucosa, Skin_Sun_Exposed_Lower_leg, Thyroid" NA
"87" "rs10930948" "UBE2E3" "." "Thyroid" NA
"88" "rs10931982" "AC007358.1" "." "." NA
"89" "rs10936143" "RSRC1" "." "Lymphoblastoid_EUR_genelevel, Artery_Tibial, Nerve_Tibial" NA
"90" "rs10937226" "SENP2" "." "Whole_Blood" NA
"91" "rs10937779" "RP11-367J11.2" "MCF-7,CTCF,UT-A,estrogen;MCF-7,CTCF,UT-A,vehicle" "Lymphoblastoid_EUR_exonlevel, Lymphoblastoid_EUR_genelevel" NA
"92" "rs10938397" "RP11-362I1.1" "." "." NA
"93" "rs10945089" "RP11-406O16.1" "." "Testis" NA
"94" "rs10946388" "CDKAL1" "." "Thyroid" NA
"95" "rs10956487" "RP11-419K12.1" "." "Esophagus_Mucosa, Skin_Sun_Exposed_Lower_leg" NA
"96" "rs10964557" "MLLT3" "." "." NA
"97" "rs10970979" "DOCK8" "." "Lymphoblastoid_EUR_exonlevel, Whole_Blood" NA
"98" "rs11004998" "PCDH15" "." "." NA
"99" "rs11021347" "MTMR2" "." "Muscle_Skeletal, Skin_Sun_Exposed_Lower_leg, Skin_Not_Sun_Exposed_Suprapubic" NA
"100" "rs11023895" "SOX6" "." "." NA
"101" "rs11024035" "C11orf58" "." "." NA
"102" "rs11036562" "HBG2" "." "Lung, Whole_Blood" NA
"103" "rs11044056" "PIK3C2G" "." "." NA
"104" "rs11049337" "CCDC91" "." "Muscle_Skeletal" NA
"105" "rs11052101" "FGD4" "." "Whole_Blood" NA
"106" "rs11061965" "ADIPOR2" "." "Nerve_Tibial" NA
"107" "rs11070742" "ATP8B4" "." "." NA
"108" "rs11071720" "TPM1" "." "Whole_Blood" NA
"109" "rs11107120" "SOCS2" "K562,CMYC,Stanford,IFNg30;K562,POL2,Stanford,IFNa30;K562,POL2,Stanford,IFNa6h;K562,POL2,Stanford,IFNg6h" "." NA
"110" "rs11120633" "USH2A" "." "." NA
"111" "rs11122517" "PGBD5" "." "." NA
"112" "rs111227771" "PLCXD3" "." "." NA
"113" "rs111265935" "RP11-717H13.1" "." "." NA
"114" "rs111339513" "MFHAS1" "." "." NA
"115" "rs11134742" "SH3PXD2B" "." "." NA
"116" "rs11135050" "EBF1" "." "." NA
"117" "rs111365308" "AC016682.1" "." "." NA
"118" "rs111371332" "AC113208.1" "." "." NA
"119" "rs111469507" "RNU105C" "." "." NA
"120" "rs111510758" "SAMSN1" "." "." NA
"121" "rs11155108" "MIR3668" "." "." NA
"122" "rs111571429" "GABRB1" "." "Esophagus_Mucosa" NA
"123" "rs111582045" "RP1-149C7.1" "." "." NA
"124" "rs111600043" "RNU1-14P" "." "." NA
"125" "rs11161147" "SNRPN" "." "." NA
"126" "rs11161271" "RP11-1084I9.1" "." "." NA
"127" "rs111631066" "GYPC" "." "." NA
"128" "rs111655465" "ZKSCAN2" "." "." NA
"129" "rs111657448" "RP11-164J13.1" "." "Whole_Blood" NA
"130" "rs111688732" "GS1-39E22.1" "." "." NA
"131" "rs111692050" "PCSK6" "." "." NA
"132" "rs11170002" "RP1-288H2.2" "." "." NA
"133" "rs11170394" "SPRYD3" "." "Pituitary, Whole_Blood" NA
"134" "rs111723635" "AC073316.1" "." "." NA
"135" "rs111743191" "CTC-305H11.1" "." "." NA
"136" "rs111752253" "TDP1" "." "." NA
"137" "rs11175919" "HMGA2" "." "." NA
"138" "rs111764866" "TLL1" "." "." NA
"139" "rs111774930" "SUPT3H" "." "." NA
"140" "rs111779523" "CNTN4" "." "." NA
"141" "rs111814466" "MFHAS1" "." "." NA
"142" "rs111828298" "CCL28" "." "." NA
"143" "rs111844837" "CCDC64" "." "." NA
"144" "rs11185556" "AC093627.9" "." "." NA
"145" "rs111880648" "RET" "." "." NA
"146" "rs11190141" "NKX2-3" "." "Colon_Transverse, Spleen" NA
"147" "rs111929596" "CTD-2281E23.1" "." "." NA
"148" "rs111953546" "SH2D4B" "." "." NA
"149" "rs112005871" "PIGK" "." "." NA
"150" "rs112006186" "KCNIP4" "A549,CTCF,HudsonAlpha,EtOH_0.02pct" "." NA
"151" "rs11203124" "SLC16A12" "." "." NA
"152" "rs112037277" "SYN3" "." "." NA
"153" "rs112044950" "NAALADL2" "." "." NA
"154" "rs112050269" "RAB8A" "." "Adipose_Subcutaneous, Lymphoblastoid_EUR_exonlevel, Cells_Transformed_fibroblasts" NA
"155" "rs112055941" "EDARADD" "." "." NA
"156" "rs11206574" "U6" "." "." NA
"157" "rs112084973" "Y_RNA" "." "." NA
"158" "rs112092228" "SEL1L3" "." "." NA
"159" "rs112093854" "AC027119.1" "." "." NA
"160" "rs112114811" "RP11-174J11.1" "." "." NA
"161" "rs112118500" "CITED4" "." "." NA
"162" "rs11214758" "USP28" "." "Nerve_Tibial, Lymphoblastoid_EUR_exonlevel" NA
"163" "rs11217223" "RP11-99C10.1" "." "." NA
"164" "rs112183400" "FHOD3" "." "." NA
"165" "rs11222391" "SNX19" "." "Whole_Blood, Muscle_Skeletal, Stomach" NA
"166" "rs11225152" "YAP1" "." "." NA
"167" "rs112305366" "ARL17B" "." "Whole_Blood, Adipose_Subcutaneous" NA
"168" "rs112316758" "C9orf163" "." "." NA
"169" "rs112348322" "SYNPO2" "." "." NA
"170" "rs11236451" "GDPD5" "." "Whole_Blood" NA
"171" "rs112395759" "RP11-457K10.1" "." "." NA
"172" "rs112498752" "RP11-427M20.1" "." "." NA
"173" "rs11250625" "ADARB2" "." "." NA
"174" "rs11253511" "LARP4B" "." "Lymphoblastoid_EUR_exonlevel, Nerve_Tibial, Lymphoblastoid_EUR_genelevel" NA
"175" "rs11257460" "PFKFB3" "A549,POL2,HudsonAlpha,DEX_100nM;A549,POL2,HudsonAlpha,EtOH_0.02pct" "." NA
"176" "rs11259151" "FAM107B" "." "Lymphoblastoid_EUR_exonlevel" NA
"177" "rs11261474" "CA3" "." "Lymphoblastoid_EUR_exonlevel, Whole_Blood" NA
"178" "rs11265621" "SHE" "." "Adipose_Visceral_Omentum, Thyroid, Testis" NA
"179" "rs1126809" "TYR" "." "." NA
"180" "rs112829579" "HRSP12" "." "." NA
"181" "rs112835958" "RP11-1029J19.2" "." "." NA
"182" "rs112892750" "RP11-260O18.1" "." "." NA
"183" "rs112987863" "RP11-437J19.1" "." "." NA
"184" "rs113046074" "AC134698.1" "." "." NA
"185" "rs113070463" "TMPRSS11D" "." "." "https://en.wikipedia.org/wiki/TMPRSS11D. This protein may play some biological role in the host defense system on the mucous membrane (粘膜) independently of or in cooperation with other substances in airway (气管) mucous or bronchial (支气管) secretions."
"186" "rs113085271" "BCL9" "." "." NA
"187" "rs113086400" "RHOF" "." "." NA
"188" "rs113154393" "POU6F2" "." "." NA
"189" "rs113278716" "SNCAIP" "." "." NA
"190" "rs113339019" "GALNT9" "." "." NA
"191" "rs1133400" "INPP5A" "." "Brain_FCTX, Brain_OCTX, Brain_aveALL" NA
"192" "rs113341996" "RP11-566K8.2" "." "." NA
"193" "rs113397149" "MCF2L" "." "." NA
"194" "rs113420128" "AC079612.2" "." "." NA
"195" "rs113438248" "C2orf55" "." "." NA
"196" "rs113457380" "GALNT14" "." "." NA
"197" "rs113469713" "RP11-168C9.1" "." "." NA
"198" "rs113508841" "RP13-143G15.4" "." "." NA
"199" "rs113529123" "UNC13A" "." "." NA
"200" "rs113658632" "RP11-171A24.2" "." "." NA
"201" "rs1136948" "TRAP1" "." "Lymphoblastoid_EUR_exonlevel, Heart_Atrial_Appendage, Esophagus_Muscularis" NA
"202" "rs113698623" "AF131217.1" "." "." NA
"203" "rs113712766" "GINS2" "T-47D,P300,HudsonAlpha,DMSO_0.02pct" "." NA
"204" "rs1137134" "RP11-3L8.3" "." "Brain_Putamen_basal_ganglia, Brain_Caudate_basal_ganglia" NA
"205" "rs113717650" "AC002386.1" "." "." NA
"206" "rs113824284" "TBC1D9" "." "." NA
"207" "rs113829802" "MIR548AB" "." "." NA
"208" "rs113851554" "MEIS1" "." "." NA
"209" "rs113852006" "RP11-68L1.2" "." "." NA
"210" "rs113881833" "RP11-43F13.3" "." "Cells_Transformed_fibroblasts" NA
"211" "rs113931125" "AVL9" "." "Nerve_Tibial, Testis, Whole_Blood" NA
"212" "rs114086277" "ERVMER61-1" "." "." NA
"213" "rs114116177" "ZNF496" "." "." NA
"214" "rs114129619" "ASIC5" "." "." NA
"215" "rs114142949" "VEGFA" "A549,USF1,HudsonAlpha,DEX_100nM;A549,USF1,HudsonAlpha,EtOH_0.02pct;K562,CMYC,Stanford,IFNa6h" "." NA
"216" "rs114165349" "ARID1A" "HepG2,POL2,Stanford,forskolin" "Esophagus_Mucosa, Skin_Sun_Exposed_Lower_leg, Esophagus_Muscularis" NA
"217" "rs114175048" "KNDC1" "." "." NA
"218" "rs114197338" "RP11-625I7.1" "." "." NA
"219" "rs114209822" "RP11-475B2.1" "." "." NA
"220" "rs114260065" "RN5S117" "." "." NA
"221" "rs114297139" "RPAP2" "." "." NA
"222" "rs114313003" "EIF2B5" "." "." NA
"223" "rs114371923" "SMYD3" "." "." NA
"224" "rs114377606" "RP11-445O3.3" "." "." NA
"225" "rs114406136" "MAS1L" "." "Artery_Tibial" NA
"226" "rs114467488" "RP11-118N24.3" "." "." NA
"227" "rs114521441" "DST" "." "Heart_Left_Ventricle, Lung, Testis" NA
"228" "rs114544034" "GLS" "." "." NA
"229" "rs114631747" "snoZ40" "." "." NA
"230" "rs11465538" "IL17F" "." "." NA
"231" "rs114660144" "GFRA1" "." "." NA
"232" "rs114679303" "AC018685.1" "." "." NA
"233" "rs114694170" "CTC-454M9.1" "K562,CMYC,Stanford,IFNg30" "." NA
"234" "rs114761033" "Metazoa_SRP" "." "." NA
"235" "rs114762018" "LSAMP" "." "." NA
"236" "rs114831674" "MOBP" "." "." NA
"237" "rs114922630" "RP13-977J11.2" "." "." NA
"238" "rs11493495" "OR52B4" "." "." NA
"239" "rs114947869" "RP11-415C15.2" "." "." NA
"240" "rs114956717" "SMYD3" "." "." NA
"241" "rs114958652" "EPHB1" "." "." NA
"242" "rs114965909" "AC008706.1" "." "Testis" NA
"243" "rs114976075" "EPHA6" "." "." NA
"244" "rs115008360" "INTU" "." "." NA
"245" "rs115014961" "STOML3" "." "." NA
"246" "rs115016318" "U1" "." "." NA
"247" "rs115018790" "PELO" "." "Cells_Transformed_fibroblasts, Whole_Blood, Skin_Sun_Exposed_Lower_leg" NA
"248" "rs115047626" "HLA-G" "A549,CTCF,HudsonAlpha,DEX_100nM;A549,CTCF,HudsonAlpha,EtOH_0.02pct;MCF-7,CTCF,UT-A,estrogen;MCF-7,CTCF,UT-A,vehicle" "." "https://en.wikipedia.org/wiki/PELO. The encoded protein may have a role in spermatogenesis, cell cycle control, and in meiotic cell division."
"249" "rs115064799" "EDAR" "." "." NA
"250" "rs115083479" "RP5-1066H13.4" "." "." NA
"251" "rs115088446" "AC007106.1" "." "." NA
"252" "rs115153909" "AC006227.1" "." "." NA
"253" "rs115171563" "MIR145" "." "." NA
"254" "rs115187973" "IQCJ-SCHIP1" "." "." NA
"255" "rs115223236" "METAP1D" "." "." NA
"256" "rs115235513" "HCG17" "." "." NA
"257" "rs115237855" "AC091878.1" "." "." NA
"258" "rs115250888" "CDC123" "." "." NA
"259" "rs115284511" "CETN1" "." "." NA
"260" "rs115290480" "PARD3B" "." "." NA
"261" "rs11531456" "AGR3" "." "." NA
"262" "rs115337835" "C1orf101" "." "." NA
"263" "rs115425386" "INPP4A" "." "." NA
"264" "rs11545016" "PDLIM2" "A549,POL2,HudsonAlpha,EtOH_0.02pct;ECC-1,POL2,HudsonAlpha,DMSO_0.02pct" "." NA
"265" "rs115464928" "TPRG1" "." "." NA
"266" "rs115491988" "AC068292.1" "." "." NA
"267" "rs115503786" "AC026188.1" "." "." NA
"268" "rs115511508" "RASSF2" "." "." NA
"269" "rs115516304" "RP11-475N22.4" "." "." NA
"270" "rs115629016" "CTD-2012I17.1" "." "." NA
"271" "rs11567699" "IL7R" "." "." NA
"272" "rs115684294" "MORC1" "." "." NA
"273" "rs115684722" "Metazoa_SRP" "." "." NA
"274" "rs11571302" "CTLA4" "." "Testis" NA
"275" "rs115746533" "LIMD1" "." "." NA
"276" "rs11577369" "SCARNA16" "." "Thyroid, Brain_Nucleus_accumbens_basal_ganglia, Brain_Caudate_basal_ganglia" NA
"277" "rs115803158" "AC016575.1" "." "." NA
"278" "rs115818594" "AC011343.1" "A549,GR,HudsonAlpha,DEX_50nM" "." NA
"279" "rs115823700" "FSTL5" "." "." NA
"280" "rs115846097" "CTNNA1" "." "." NA
"281" "rs1158570" "ASAP1" "." "." NA
"282" "rs115860521" "LINC00519" "." "." NA
"283" "rs115861013" "CSNK1G3" "." "." NA
"284" "rs115899080" "KCTD1" "." "." NA
"285" "rs115914233" "AC108105.1" "." "." NA
"286" "rs115917043" "BSDC1" "." "." NA
"287" "rs115943740" "LRRTM4" "." "." NA
"288" "rs115975233" "U6" "." "." NA
"289" "rs11598538" "TCERG1L" "." "." NA
"290" "rs116008029" "AC133109.1" "." "." NA
"291" "rs116035099" "CTD-2134P3.1" "." "." NA
"292" "rs11604127" "ODF3" "." "Lymphoblastoid_EUR_exonlevel, Artery_Tibial, Adipose_Subcutaneous" NA
"293" "rs11608018" "ETS1" "." "." NA
"294" "rs116085594" "RP1-137K24.1" "." "." NA
"295" "rs11611138" "TMEM120B" "." "." NA
"296" "rs11612642" "NINJ2" "." "Whole_Blood" NA
"297" "rs116126990" "SLC1A3" "." "." NA
"298" "rs116150890" "snoU13" "." "." NA
"299" "rs11615716" "FGF6" "." "Artery_Tibial" NA
"300" "rs11615745" "WDR66" "." "." NA
"301" "rs116181955" "FRYL" "." "Muscle_Skeletal" NA
"302" "rs116222284" "CDH9" "." "." NA
"303" "rs11627485" "FNTB" "." "Skin_Sun_Exposed_Lower_leg, Cells_Transformed_fibroblasts, Muscle_Skeletal" NA
"304" "rs116283987" "GMPS" "." "." NA
"305" "rs11630497" "RP11-797A18.4" "." "Muscle_Skeletal, Lymphoblastoid_EUR_exonlevel, Whole_Blood" NA
"306" "rs116316941" "AC009478.1" "." "." NA
"307" "rs116329140" "KCTD16" "." "." NA
"308" "rs11638316" "RP11-624L4.1" "." "." NA
"309" "rs116411941" "RN5S178" "." "." NA
"310" "rs116427684" "RP11-883A18.3" "." "." NA
"311" "rs11643207" "TMEM170A" "A549,CTCF,HudsonAlpha,DEX_100nM;A549,CTCF,HudsonAlpha,EtOH_0.02pct;HepG2,CEBPB,Stanford,forskolin;K562,CMYC,Stanford,IFNa30;K562,CMYC,Stanford,IFNa6h;K562,CMYC,Stanford,IFNg30;K562,CMYC,Stanford,IFNg6h;K562,IRF1,Stanford,IFNg6h;MCF-7,CMYC,UT-A,estrogen;MCF-7,CMYC,UT-A,vehicle;MCF-7,CTCF,UT-A,estrogen;MCF-7,CTCF,UT-A,vehicle;T-47D,CTCF,HudsonAlpha,DMSO_0.02pct" "Cells_Transformed_fibroblasts, Thyroid, Esophagus_Mucosa" NA
"312" "rs11643568" "RP11-53L24.1" "." "." NA
"313" "rs116439145" "NFATC2" "." "." NA
"314" "rs116470470" "DENND2C" "." "Brain_Cerebellum" NA
"315" "rs11647250" "SEC14L5" "." "Whole_Blood, Heart_Left_Ventricle" NA
"316" "rs11649220" "RP11-863P13.3" "." "." NA
"317" "rs116504153" "RP4-663N10.1" "." "." NA
"318" "rs11654428" "GPATCH8" "." "." NA
"319" "rs11657315" "YWHAE" "." "." NA
"320" "rs116577981" "GRXCR1" "." "." NA
"321" "rs116581888" "AC062032.1" "ECC-1,ERALPHA_A,HudsonAlpha,Estradiol_10nM;ECC-1,ERALPHA_A,HudsonAlpha,Genistein_100nM;ECC-1,GR,HudsonAlpha,DEX_100nM" "." NA
"322" "rs116606963" "7SK" "." "." NA
"323" "rs116618130" "REEP1" "." "." NA
"324" "rs11663932" "GALNT1" "." "." NA
"325" "rs116672762" "PARD3B" "." "." NA
"326" "rs11670030" "ADAMTS10" "." "." NA
"327" "rs11672387" "MAST1" "." "Muscle_Skeletal" NA
"328" "rs116723896" "ST6GALNAC1" "." "." NA
"329" "rs116729589" "RP11-18H21.1" "." "." NA
"330" "rs116730706" "snoU13" "." "." NA
"331" "rs116757305" "SZT2" "." "." NA
"332" "rs116765583" "GADL1" "." "." NA
"333" "rs116780325" "VGLL3" "." "." NA
"334" "rs1167848" "IL20RA" "ECC-1,GR,HudsonAlpha,DEX_100nM;T-47D,FOXA1,HudsonAlpha,DMSO_0.02pct;T-47D,GATA3,HudsonAlpha,DMSO_0.02pct;T-47D,P300,HudsonAlpha,DMSO_0.02pct" "." NA
"335" "rs116789647" "GRIA2" "." "." NA
"336" "rs116805470" "CTB-1I21.1" "." "." NA
"337" "rs116808781" "RP3-448I9.2" "." "." NA
"338" "rs116809521" "RP11-468D11.1" "." "." NA
"339" "rs116852363" "CTD-2015H3.1" "." "." NA
"340" "rs116853028" "DZANK1" "." "." NA
"341" "rs116893219" "TTC9" "." "." NA
"342" "rs116912853" "PSMG2" "." "." NA
"343" "rs116925180" "ATP8A2" "." "." NA
"344" "rs11693078" "AC108463.1" "." "Lung" NA
"345" "rs116946737" "DYNC1I1" "." "." NA
"346" "rs116961872" "PCSK6" "." "." NA
"347" "rs11696241" "SLC23A2" "." "." NA
"348" "rs116987865" "CDH2" "." "." NA
"349" "rs116989854" "CYFIP1" "." "." NA
"350" "rs117010490" "snoU13" "." "." NA
"351" "rs11701383" "RUNX1" "." "." NA
"352" "rs117025774" "PDE10A" "." "." NA
"353" "rs117060081" "PAPD5" "." "." NA
"354" "rs117062316" "MIR3924" "." "." NA
"355" "rs117063220" "FAM124A" "MCF-7,CTCF,UT-A,estrogen;MCF-7,CTCF,UT-A,vehicle" "." NA
"356" "rs117075165" "RP11-760D2.1" "." "." NA
"357" "rs117078929" "ZCWPW1" "." "Muscle_Skeletal, Skin_Sun_Exposed_Lower_leg, Lung" NA
"358" "rs117078983" "AC008085.1" "." "." NA
"359" "rs117102083" "IPO8" "." "." NA
"360" "rs117109095" "AL354775.1" "." "." NA
"361" "rs117145787" "RP11-439I14.2" "." "." NA
"362" "rs117148236" "RBBP8" "." "." NA
"363" "rs117192087" "RP4-725G10.1" "." "." NA
"364" "rs11720285" "FLNB" "." "Whole_Blood" NA
"365" "rs117211722" "C9orf85" "." "." NA
"366" "rs117213448" "SNORA68" "." "." NA
"367" "rs117214546" "RP11-384P14.1" "." "." NA
"368" "rs117216105" "AP000946.2" "." "." NA
"369" "rs117222157" "RP5-945F2.3" "." "." NA
"370" "rs117225239" "CSMD3" "." "." NA
"371" "rs117235488" "RP11-744K17.2" "." "." NA
"372" "rs117254864" "FAM189A2" "." "." NA
"373" "rs117263930" "Metazoa_SRP" "T-47D,GATA3,HudsonAlpha,DMSO_0.02pct" "." NA
"374" "rs117273566" "CHODL" "." "." NA
"375" "rs117275849" "OSBPL1A" "." "." NA
"376" "rs117294867" "RP11-114H23.1" "." "." NA
"377" "rs117306270" "C18orf34" "." "." NA
"378" "rs11731023" "RP11-292D4.3" "." "." NA
"379" "rs117313862" "NTM" "." "." NA
"380" "rs117321028" "MIR3144" "." "." NA
"381" "rs11732231" "ARHGAP24" "." "." NA
"382" "rs117325804" "IFITM2" "K562,STAT2,Stanford,IFNa6h;MCF-7,CTCF,UT-A,vehicle;MCF10A-Er-Src,STAT3,Harvard(Weissman),EtOH_0.01pct;MCF10A-Er-Src,STAT3,Harvard(Weissman),TAM_1uM_36hr;MCF10A-Er-Src,STAT3,Stanford,EtOH_0.01pct_12hr" "Esophagus_Mucosa, Artery_Tibial, Esophagus_Muscularis" NA
"383" "rs117334031" "MTMR3" "." "." NA
"384" "rs117339398" "PRICKLE1" "." "." NA
"385" "rs11734099" "KIAA0232" "." "." NA
"386" "rs117342671" "RP11-90J7.3" "." "." NA
"387" "rs117354323" "CCDC59" "." "." NA
"388" "rs117361910" "RP3-495K2.1" "." "." NA
"389" "rs117368538" "IZUMO3" "." "." NA
"390" "rs117375959" "Y_RNA" "." "." NA
"391" "rs117387149" "NTN4" "." "." NA
"392" "rs117434279" "RP11-47G4.2" "." "." NA
"393" "rs11743960" "ADAMTS6" "." "." NA
"394" "rs117443940" "RRAS2" "." "." NA
"395" "rs117451808" "AQP9" "." "." NA
"396" "rs117476427" "MYO16" "." "." NA
"397" "rs117487536" "RP11-760D2.5" "." "." NA
"398" "rs117490930" "CNTN5" "." "." NA
"399" "rs11749980" "MAST4" "." "." NA
"400" "rs117501509" "RP11-161I6.2" "." "." NA
"401" "rs11750360" "CDH6" "." "." NA
"402" "rs117505015" "COL4A2" "." "." NA
"403" "rs11751245" "RN5S225" "." "." NA
"404" "rs11751389" "RP1-80B9.2" "." "." NA
"405" "rs117548502" "CCBE1" "." "." NA
"406" "rs11756438" "CEP85L" "." "Whole_Blood, Artery_Tibial, Lymphoblastoid_EUR_exonlevel" NA
"407" "rs11757657" "MMS22L" "." "." NA
"408" "rs11761064" "AC073094.4" "." "." NA
"409" "rs117649905" "RP11-368L12.1" "." "." NA
"410" "rs11766324" "CPED1" "." "Cells_Transformed_fibroblasts" NA
